K,measured_relative_mean_zero_norm,rho_power_bound,ramanujan_power_bound
1,0.400934770722008,0.7364200532935301,0.7453559924999299
2,0.21835189625761525,0.5423144948928458,0.5555555555555556
3,0.1311697434639391,0.3993712692308433,0.41408666249996107
4,0.08267923621868395,0.2941050113708824,0.30864197530864196
5,0.05362980538485962,0.2165848281476395,0.2300481458333117
6,0.03545861286778078,0.15949741068705472,0.17146776406035666
7,0.02376646004902939,0.11745709167834091,0.12780452546295093
8,0.01609297836886753,0.08649775771346686,0.09525986892242036
9,0.010983569754061935,0.06369868334512212,0.07100251414608386
10,0.007544022689020876,0.04690898778374253,0.05292214940134465
11,0.005208732419491494,0.03454471928364923,0.03944584119226881
12,0.0036122642190926937,0.025439424015875,0.029401194111858136
